Category,Question,Answer
General,What genre of fiction is honored by the Nebula awards,Science fiction sci fi sci fi
General,Toxiphobia is a fear of _________,Poisons
General,The Statue of Liberty stands on which island,Liberty island
Geography,Name the sea west of Alaska.,Bering
General,Alanis Morrisette appeared on what 80's cable children's show?,You Can't Do that On Television
Science & Nature,A group of kangaroos is known as a _______.,Troop
General,In what country is Legoland,Denmark
General,Goldaming in Surrey was the first English town to have what,Electric street lighting
General,"Who recorded the album ""free for all"" in 1976",Ted nugent
General,What's krypton's state at standard temperature and pressure,Gaseous
General,Which company produced the first nylon,Dupont
General,Moons of the faithful is the Chinese translation of what fruit,Apricot
Food & Drink,What is the world's best selling wine?,Lambrusco
Music,"Who thought up the name ""Beatles""?",Stu Sutcliffe
General,Who became the first Prime Minister of Tanganyika in 1961,Julius nyerere
Sports & Leisure,How Many Consecutive Wimbledon Titles Did Bjorn Borg Win,Five
General,What has 32 panels and 642 stitches,A football (soccer)
Geography,Name the second largest country in South America.,Argentina
Music,Jimmy Sommerville Of Bronski Beat Went On To Form What Band,The Communards
General,Who once vowed to erect a statue to adolf hitler in kampala,Idi amin
General,Which band reached number two in the charts in 1988 with the album The First of a Million Kisses,Fairground attraction
Science & Nature,Hummingbirds cannot glide or soar as other bird do. They are the only bird that can __________,Hover continuously
General,Beaver What is Barbi's full name,Barbara Millicent Roberts
Geography,In which country is Loch Ness?,Scotland
General,Sixty six mhz italy's equivalant to the dollar is ______,Lira
General,San Francisco lies on which dangerous geological feature,San andreas fault
General,"If You Suffered From “ Peladophobia ” There Is Something About Certain People That You Really Really Do Not Like, What Is It?",Bald People
General,In heraldry an animal reguardant is doing what,Looking backwards
General,Celcius what is an osteopath,Bone specialist
General,In Maryland it is illegal to maltreat which creature,Oyster
General,What part of your body contains vertebrae,Your spine
Science & Nature,What Is Bronze An Alloy Of,Copper & Zinc
General,The liquor Curacao is flavoured with what,Orange
History & Holidays,Who was the most famous leader of the Carthagenians?,Hannibal
Music,"What Was The Highest UK Chart Position Reached By U2 In 1981 With The Single ""Gloria""?",55
General,Nossa Senhora da Aparecida is the Patron Saint which country,Brazil
General,In California it is illegal to do what in a hotel room,Peel an Onion
General,What sport introduced the term southpaw,Baseball
Music,Who Walked Off Stage On A 1995 USA Tour After Having A Pair Of Glasses Thrown At Him,Liam Gallagher
General,Which Dickensian character had a nurse called Clara Peggotty,David copperfield
General,Who died whilst attempting to discover the source of the Nile,Stanley livingstone
Entertainment,"In 'Star Wars', who was C3P0's sidekick?",R2D2
Sports & Leisure,Who did Boris Becker Beat to Win his first Wimbledon title,Kevin Curren
General,As Of 2008 Which Country Has Had More Winners Of The Eurovision Song Contest Than Any Other,India
Science & Nature,Which American Architect/Engineer Invented Geodesic Dome Construction,Buckminster Fuller
Food & Drink,"Once upon a time, the consumption of foods made with what, often caused ergot poisoning (Holy fire or St. Anthony's fire), resulting in progressive gangrene and/or mental derangement ? Three letters",Rye
General,"In Greek mythology, whose companions were the argonauts",Jason
General,"Which Shakespeare play features the characters Demetrius, Lysander, Helena and Hermia",A midsummer night's dream
General,"In the nursery rhyme, who were the three men in a tub","Butcher, baker,"
History & Holidays,Which Founder Of The Organisation For Afro American Unity Was Murdered In Harlem On 21 February 1965,Malcolm X
People & Places,Which Hollywood Actor Was Taken Into Custody At Sydney Airport In 2006 For Carrying Banned Products Into The Country In his Suitcase?,Sylvester Stallone
General,Duffel bags were made in Duffel - what country,Belgium
General,By US Congress law 1832 citizens should do what annually,Fasting and prayer
General,How many stars are there on the new zealand flag,Four
General,Leonid Kravchuk became president of where in 1991,Ukraine
Food & Drink,What is the salted roe of a sturgeon called?,Caviar
General,What is a halberd a type of,Spear
General,Which houses fought the war of the roses,Lancaster and york
General,Archimedes lived in which city,Syracuse
General,"Football Team, buffalo _______",Bills
General,The Academie Francaise ensures the purity of what,The French language
General,The Process Of Lachrymation Produces What,Tears
General,The French call it L' Herbe Royal what do we call it,Basil
History & Holidays,Who ordered the persecution of the Christians in which Peter and Paul died?,Nero
History & Holidays,At which hospital was the first British Heart Transplant operation performed in 1979?,"Papworth, Cambridge"
Music,"What Were The Band ""Yes "" Owners Of",A Lonely Heart
Music,What Instrument Does Sheila E Play,Drums / Percussion
Music,Who Wrote The Lyrics To Starlight Express,Richard Stillgoe
General,Who succeeded charles de gaulle as president of france,Georges pompidour
General,The Chronic Argonauts was the original title of what SF book,The Time Machine
History & Holidays,Is an icicle a Stalagmite or a Stalagtite,Stalagtite
General,What country is the world's largest exporter of frog's legs,Japan
Food & Drink,"Triple sec, tequila, and lemon or lime juice make up which type of cocktail",Margarita
Music,Weird Al Yankovic Had A Hit With A Parady Of A Michael Jackson Song What Was It,Beat It / Eat It
General,Whose flag has the national arms on one side and the treasury seal on the other,Paraguay
General,"Which area of Dorset which is not an island, is home to Corfe Castle and the town of Swanage?",Isle of Purbeck
General,Where would you find the Forte and the Foible strong - weak,Sword blade – near hilt and tip
General,What does the latin 'carpe diem' mean ?,Seize the day
General,A screwdriver becomes a fuzzy screw when you add what,Peach Schnapps
General,What Nationality Is Lou Bega Of Mambo No.5 Fame,German
General,What is the major german airline (member of star alliance)?,Lufthansa
General,What was the philosophy of Jean Paul Sartre called,Existentialism
General,Famous fictional character first appeared in Meet the Tiger 1928,Simon Templar Saint
General,What is the only land mammal native to New Zealand,Bat
Art & Literature,"What story features flopsy, mopsy and cottontail?",Peter Rabbit
History & Holidays,Which Singer Was 'Driving Home For Christmas'' In 1988,Chris Rea
General,The application of science to law?,Forensic science
General,In what TV series did we meet Admiral Nelson,Voyage to the bottom of the sea
General,"Which Saint was canonised in 1920, 489 years after she was burned at the stake",Joan of arc
General,"Extensive cultivation of plants to yield food, feed, or fiber; to provide medicinal or industrial ingredients; or to grow ornamental products",Crop farming
General,Who became president of south africa in 1989,F.w de klerk
General,"What does thumper call ice in ""bambi""",Stiff water
General,Who invented the smallpox vaccine,Edward jenner
General,In Morse code what letter is represented by .- Dot Dash,Letter A
General,A pearmain is what type of fruit,Apple
General,"After spending hours working at a computer display, what colour will a blank piece of white paper probably appear to be",Pink
General,What is Winnie The Pooh's real name,Edward bear
General,For what did the knights of the round table search,The holy grail
General,The Aga Khan is the leader of the largest branch of which religious sect?,Ismali Muslims
General,What is the name given to the switching of letters in an expression (e.g. saying Jag of Flapan instead of Flag of Japan)?,Spoonerism
General,Who invented the geodesic dome,Buckminster fuller
Science & Nature,The Komodo Dragon is native to which country?,Indonesia
Music,With Which Particular Instrument Would You Associate Gerry Mulligan,Baritone Sax
General,"Which British king said 'I don't like abroad, I've been there'",George v
Science & Nature,What sort of creature is a fluke?,Worm
General,"On The London Underground What Is The Only Line To Connect To Every Other Line On The System, At Some Point",Jubilee Line
Science & Nature,What are the pouched animals called?,Marsupials
General,Which balding actor donned a pigtail for his role in the film Medicine Man,Sean connery
General,"What TV actress co-starred in 1986's ""Howard The Duck""?",Lea Thompson
General,What is the second longest word in the English language,"Antidisestablishmenterianism"""
General,How many letters are used for roman numerals,Seven
General,What's the only element capable of tarnishing and damaging gold,Mercury
Music,"Which Singer Was Born In Brixton London, On The 8 th January 1947?",David Bowie
General,What nationality was tennis star vitas gerulaitis,American
Geography,What city was filmore west in,San francisco
Entertainment,Which TV horse could talk?,Mr. Ed
Geography,Which Is The Largest Of The Greek Islands,Crete
General,What is the fear of taking medicine known as,Pharmacophobia
Science & Nature,"There are no wild deer of any kind in Australia, and the small red deer is the only one found in __________",Africa
General,Andy Green first broke the sound barrier on land in what car,Thrust SSC
